Titre,Artiste,Année,Style,Tonalité,Tempo_BPM,Difficulté_basse,Progression,Penta_utile,Notes
Losing My Religion,R.E.M.,1991,Alt rock,La min,125,3,Am–Em / F–Dm–G–Am,La min,Riff à la mandoline
Under the Bridge,Red Hot Chili Peppers,1991,Alt rock,Mi,84,3,Intro E–B–C#m… / couplet,Mi maj / Do# min,Voir tab
Zombie,The Cranberries,1994,Alt rock,Mi min,85,2,Em–C–G–D,Mi min,
Californication,Red Hot Chili Peppers,1999,Alt rock,La min,96,3,Am–F–C–G / Dm–…,La min,vi–IV–I–V
Otherside,Red Hot Chili Peppers,1999,Alt rock,La min,122,3,Am–F–C–G–E,La min,
Teenage Dirtbag,Wheatus,2000,Alt rock,Mi,150,2,E–A–B (power chords),Mi maj,
Seven Nation Army,The White Stripes,2003,Alt rock,Mi min,124,2,Riff (E-E-G-E-D-C),Mi min,Do de passage = mineur naturel
Boulevard of Broken Dreams,Green Day,2004,Alt rock,Fa min,86,2,Fm–Ab–Eb–Bb,Fa min,
Sweet Home Chicago,Robert Johnson (std),1936,Blues,Mi,110,2,12 mesures Mi,Mi min / blues,Standard 12 mesures
Hoochie Coochie Man,Muddy Waters,1954,Blues,La,78,2,Stop-time A7,La min / blues,
Mannish Boy,Muddy Waters,1955,Blues,La,80,2,Vamp A (un accord),La min / blues,
The Sky Is Crying,Elmore James,1959,Blues,Do,60,2,12 mesures Do,Do min / blues,
Boom Boom,John Lee Hooker,1961,Blues,Mi,120,3,Riff/vamp E,Mi min / blues,
Born Under a Bad Sign,Albert King,1967,Blues,Do# min,92,3,Riff (blues),Do# min / blues,
Red House,Jimi Hendrix,1967,Blues,Si,66,3,12 mesures Si,Si min / blues,
The Thrill Is Gone,B.B. King,1969,Blues,Si min,92,3,Bm–Em–Gmaj7–F#7,Si min,Blues mineur
Pride and Joy,Stevie Ray Vaughan,1983,Blues,Mi,120,3,12 mesures Mi (E–A–B7),Mi min / blues,Shuffle en Mi
Crossroads,Cream,1968,Blues rock,La,90,3,12 mesures La (A–D–E),La min / blues,
Layla,Derek and the Dominos,1970,Blues rock,Ré min,116,3,Riff (Dm–Bb–C),Ré min / blues,
